icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,squawk,spi,position_source,category,fetch_time_utc
896354,ETD5GZ  ,United Arab Emirates,1745269243.0,1745269243,14.1866,50.3678,10668.0,False,241.49,127.38,0.0,,10713.72,1432,False,0,2025-04-21T21:00:50.106135
89637d,ETD5FJ  ,United Arab Emirates,1745269191.0,1745269196,58.2053,23.581,11277.6,False,261.42,79.11,0.0,,11917.68,1703,False,0,2025-04-21T21:00:50.106135
8963ce,ETD3AG  ,United Arab Emirates,1745269243.0,1745269243,11.7035,47.1092,11269.98,False,257.37,107.93,-0.33,,11346.18,0657,False,0,2025-04-21T21:00:50.106135
896537,ETD2NP  ,United Arab Emirates,1745269243.0,1745269243,9.7959,50.7731,11277.6,False,253.56,110.05,0.0,,11269.98,2201,False,0,2025-04-21T21:00:50.106135
896488,ETD415  ,United Arab Emirates,1745269243.0,1745269243,77.8877,14.5155,11574.78,False,262.91,293.4,0.0,,12260.58,,False,0,2025-04-21T21:00:50.106135
89649e,ETD498  ,United Arab Emirates,1745269244.0,1745269244,77.3548,15.7149,11887.2,False,247.55,116.41,-0.33,,12565.38,,False,0,2025-04-21T21:00:50.106135
8964fe,ETD474  ,United Arab Emirates,1745269243.0,1745269243,73.5212,17.5742,10668.0,False,262.98,117.12,-0.33,,11308.08,,False,0,2025-04-21T21:00:50.106135
8964be,ETD4SA  ,United Arab Emirates,1745269243.0,1745269243,12.7465,49.4899,11277.6,False,251.7,116.98,-0.33,,11308.08,7663,False,0,2025-04-21T21:00:50.106135
8964bc,ETD6PX  ,United Arab Emirates,1745269239.0,1745269239,-66.8918,42.6424,11269.98,False,274.28,83.75,-0.33,,11521.44,,False,0,2025-04-21T21:00:50.106135
89659c,ETD8MY  ,United Arab Emirates,1745269239.0,1745269242,-67.3263,45.9249,10668.0,False,283.68,81.24,0.0,,10820.4,2237,False,0,2025-04-21T21:00:50.106135
89659b,ETD76T  ,United Arab Emirates,1745268960.0,1745268961,-66.3373,43.53,10668.0,False,283.77,94.37,0.0,,10881.36,3576,False,0,2025-04-21T21:00:50.106135
89656e,ETD80   ,United Arab Emirates,1745269202.0,1745269202,8.7336,45.6163,,True,0.19,73.12,,,,0464,False,0,2025-04-21T21:00:50.106135
89653e,ETD128  ,United Arab Emirates,1745269243.0,1745269243,15.045,47.8006,10668.0,False,247.6,108.66,-0.33,,10782.3,4521,False,0,2025-04-21T21:00:50.106135
89653d,ETD476  ,United Arab Emirates,1745269243.0,1745269243,77.0379,15.867,10668.0,False,255.6,116.41,0.0,,11308.08,,False,0,2025-04-21T21:00:50.106135
89653c,ETD88C  ,United Arab Emirates,1745269243.0,1745269243,7.6638,49.9958,11277.6,False,260.71,112.26,-0.33,,11262.36,4710,False,0,2025-04-21T21:00:50.106135
8964c3,ETD3JP  ,United Arab Emirates,1745267260.0,1745269244,134.9456,-33.9732,10355.58,False,274.9,106.64,-0.33,,10767.06,1360,False,0,2025-04-21T21:00:50.106135
8964bb,ETD104A ,United Arab Emirates,1745269243.0,1745269243,4.9342,37.7525,11879.58,False,284.62,114.11,0.33,,12138.66,1456,False,0,2025-04-21T21:00:50.106135
8965f5,ETD218  ,United Arab Emirates,1745269243.0,1745269243,76.1666,28.2287,5867.4,False,213.0,89.17,-7.8,,6187.44,,False,0,2025-04-21T21:00:50.106135
89669a,ETD336  ,United Arab Emirates,1745269121.0,1745269121,76.3765,10.1502,106.68,False,73.1,87.98,-3.58,,-7.62,,False,0,2025-04-21T21:00:50.106135
