col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
89625b,ETD5PB  ,United Arab Emirates,1745263892.0,1745263893,48.4848,29.1826,5242.56,False,161.18,92.56,8.13,,5494.02,,False,0
89640a,ETD11B  ,United Arab Emirates,1745263783.0,1745263783,-73.7729,40.642,,True,5.92,222.19,,,,6074,False,0
896388,ETD9SY  ,United Arab Emirates,1745263902.0,1745263903,54.7809,24.9018,4411.98,False,188.02,35.65,7.8,,4663.44,3443,False,0
896326,ETD801  ,United Arab Emirates,1745263902.0,1745263902,56.6236,23.9732,9387.84,False,210.03,282.88,-9.43,,9921.24,,False,0
8963cf,ETD352  ,United Arab Emirates,1745263835.0,1745263835,68.3587,20.0244,11887.2,False,256.52,116.57,0.0,,12588.24,,False,0
896539,ETD418  ,United Arab Emirates,1745263903.0,1745263903,74.0934,17.2923,10668.0,False,259.76,117.22,-0.33,,11315.7,,False,0
89650a,ETD9711 ,United Arab Emirates,1745263903.0,1745263903,0.6625,41.1335,10668.0,False,220.15,260.45,0.0,,10805.16,0650,False,0
89643f,ETD335  ,United Arab Emirates,1745263896.0,1745263896,55.5349,23.8294,4998.72,False,178.96,309.87,-9.43,,5303.52,,False,0
896440,ETD284  ,United Arab Emirates,1745263788.0,1745263788,56.9074,26.9827,10043.16,False,261.76,94.85,0.0,,10530.84,1714,False,0
896442,ETD914  ,United Arab Emirates,1745263904.0,1745263904,25.2471,45.0833,10668.0,False,247.98,130.96,0.0,,10774.68,1422,False,0
8964f9,ETD815  ,United Arab Emirates,1745263787.0,1745263789,55.495,23.8478,4914.9,False,165.84,293.78,-6.18,,5196.84,,False,0
8964ff,ETD475  ,United Arab Emirates,1745263680.0,1745263699,55.526,23.8349,4808.22,False,187.68,294.11,-13.0,,5074.92,,False,0
89659b,ETD76T  ,United Arab Emirates,1745263903.0,1745263903,-84.3043,42.31,8542.02,False,293.09,78.87,2.6,,8633.46,,False,0
896596,ETD217  ,United Arab Emirates,1745263606.0,1745263606,55.0066,24.2388,1714.5,False,119.42,222.56,-5.2,,2034.54,2367,False,0
8964c3,ETD3JP  ,United Arab Emirates,1745263903.0,1745263903,142.9407,-37.0956,8595.36,False,271.01,110.33,-0.33,,9006.84,1360,False,0
8965f4,ETD206  ,United Arab Emirates,1745263901.0,1745263901,70.0996,19.1906,11277.6,False,258.83,117.07,-0.33,,11971.02,,False,0
8965f3,ETD19G  ,United Arab Emirates,1745263903.0,1745263903,-77.4551,39.2622,1569.72,False,107.01,180.55,-1.95,,1607.82,0740,False,0
896699,ETD239  ,United Arab Emirates,1745263878.0,1745263878,56.4954,23.277,8915.4,False,221.23,302.17,-7.15,,9616.44,,False,0
