callsign,latitude,longitude,temp,wind,pressure
ETD5GZ,50.3678,14.1866,12.06,2.57,1014.0
ETD5FJ,23.581,58.2053,26.96,1.54,1013.0
ETD3AG,47.1092,11.7035,12.06,2.57,1014.0
ETD2NP,50.7731,9.7959,12.06,2.57,1014.0
ETD415,14.5155,77.8877,28.62,5.08,1009.0
ETD498,15.7149,77.3548,28.62,5.08,1009.0
ETD474,17.5742,73.5212,28.62,5.08,1009.0
ETD4SA,49.4899,12.7465,12.06,2.57,1014.0
ETD6PX,42.6424,-66.8918,11.34,5.66,1021.0
ETD8MY,45.9249,-67.3263,11.34,5.66,1021.0
ETD76T,43.53,-66.3373,11.34,5.66,1021.0
ETD80,45.6163,8.7336,12.06,2.57,1014.0
ETD128,47.8006,15.045,12.06,2.57,1014.0
ETD476,15.867,77.0379,28.62,5.08,1009.0
ETD88C,49.9958,7.6638,12.06,2.57,1014.0
ETD3JP,-33.9732,134.9456,15.76,5.14,1014.0
ETD104A,37.7525,4.9342,12.06,2.57,1014.0
ETD218,28.2287,76.1666,25.05,1.54,1007.0
ETD336,10.1502,76.3765,28.62,5.08,1009.0
